
Size;Rows;Threads
128;1;1;0,002313
128;1;2;0,001218
128;1;4;0,000590
128;1;8;0,000510
128;2;1;0,001922
128;2;2;0,000950
128;2;4;0,000504
128;2;8;0,000485
128;4;1;0,001675
128;4;2;0,000882
128;4;4;0,000461
128;4;8;0,000435
128;8;1;0,001602
128;8;2;0,000863
128;8;4;0,000478
128;8;8;0,000438
128;16;1;0,001566
128;16;2;0,000868
128;16;4;0,000479
128;16;8;0,000450
256;1;1;0,015168
256;1;2;0,008574
256;1;4;0,004998
256;1;8;0,003777
256;2;1;0,015165
256;2;2;0,008732
256;2;4;0,004951
256;2;8;0,003821
256;4;1;0,015172
256;4;2;0,008677
256;4;4;0,005190
256;4;8;0,003600
256;8;1;0,015143
256;8;2;0,007939
256;8;4;0,004699
256;8;8;0,003657
256;16;1;0,015173
256;16;2;0,007908
256;16;4;0,004464
256;16;8;0,003647
512;1;1;0,145464
512;1;2;0,084991
512;1;4;0,051662
512;1;8;0,039082
512;2;1;0,146561
512;2;2;0,079000
512;2;4;0,051795
512;2;8;0,036247
512;4;1;0,145471
512;4;2;0,078216
512;4;4;0,049627
512;4;8;0,035634
512;8;1;0,145716
512;8;2;0,077897
512;8;4;0,049119
512;8;8;0,034363
512;16;1;0,145537
512;16;2;0,077232
512;16;4;0,048724
512;16;8;0,037543
1024;1;1;1,481812
1024;1;2;1,119308
1024;1;4;0,526189
1024;1;8;0,650508
1024;2;1;1,326135
1024;2;2;0,918777
1024;2;4;0,543354
1024;2;8;0,459754
1024;4;1;1,417084
1024;4;2;0,864171
1024;4;4;0,553019
1024;4;8;0,499760
1024;8;1;1,344810
1024;8;2;1,077556
1024;8;4;0,531318
1024;8;8;0,461150
1024;16;1;1,336411
1024;16;2;0,966767
1024;16;4;0,539945
1024;16;8;0,497734
