
Size;Threads;Rows;Time
128;1;1;0.001821
128;2;1;0.001808
128;4;1;0.001721
128;8;1;0.001675
128;1;2;0.000875
128;2;2;0.000853
128;4;2;0.000855
128;8;2;0.000851
128;1;4;0.000468
128;2;4;0.000473
128;4;4;0.000471
128;8;4;0.000494
128;1;8;0.000456
128;2;8;0.000473
128;4;8;0.000445
128;8;8;0.000443
128;1;16;0.000485
128;2;16;0.000479
128;4;16;0.000530
128;8;16;0.000551
256;1;1;0.015137
256;2;1;0.015155
256;4;1;0.015498
256;8;1;0.015233
256;1;2;0.008420
256;2;2;0.008312
256;4;2;0.008448
256;8;2;0.007937
256;1;4;0.004407
256;2;4;0.005152
256;4;4;0.005161
256;8;4;0.004545
256;1;8;0.004103
256;2;8;0.003827
256;4;8;0.003720
256;8;8;0.003774
256;1;16;0.003792
256;2;16;0.003482
256;4;16;0.003659
256;8;16;0.003660
512;1;1;0.145586
512;2;1;0.152364
512;4;1;0.148064
512;8;1;0.145557
512;1;2;0.079835
512;2;2;0.082245
512;4;2;0.076294
512;8;2;0.077689
512;1;4;0.049447
512;2;4;0.051693
512;4;4;0.053298
512;8;4;0.049858
512;1;8;0.041879
512;2;8;0.035705
512;4;8;0.035380
512;8;8;0.037226
512;1;16;0.040189
512;2;16;0.038971
512;4;16;0.037354
512;8;16;0.037423
1024;1;1;1.345596
1024;2;1;1.354806
1024;4;1;1.365558
1024;8;1;1.406348
1024;1;2;0.928453
1024;2;2;0.749247
1024;4;2;0.925624
1024;8;2;0.830705
1024;1;4;0.566192
1024;2;4;0.539282
1024;4;4;0.528092
1024;8;4;0.541827
1024;1;8;0.544088
1024;2;8;0.585333
1024;4;8;0.800168
1024;8;8;0.505891
1024;1;16;0.463752
1024;2;16;0.479697
1024;4;16;0.556188
1024;8;16;0.480100
