
Size;Threads;Rows
128;1;1;0.002188
128;2;1;0.002097
128;4;1;0.001939
128;8;1;0.001802
128;1;2;0.000941
128;2;2;0.000915
128;4;2;0.000880
128;8;2;0.000874
128;1;4;0.000459
128;2;4;0.000462
128;4;4;0.000465
128;8;4;0.000474
128;1;8;0.000482
128;2;8;0.000518
128;4;8;0.000494
128;8;8;0.000470
128;1;16;0.000476
128;2;16;0.000542
128;4;16;0.000646
128;8;16;0.000466
256;1;1;0.016269
256;2;1;0.016268
256;4;1;0.016294
256;8;1;0.016084
256;1;2;0.008971
256;2;2;0.008409
256;4;2;0.008471
256;8;2;0.008027
256;1;4;0.004675
256;2;4;0.004587
256;4;4;0.004653
256;8;4;0.004674
256;1;8;0.004217
256;2;8;0.004818
256;4;8;0.003770
256;8;8;0.003825
256;1;16;0.004184
256;2;16;0.004160
256;4;16;0.004110
256;8;16;0.004207
512;1;1;0.153208
512;2;1;0.146834
512;4;1;0.148061
512;8;1;0.146747
512;1;2;0.079861
512;2;2;0.079116
512;4;2;0.084450
512;8;2;0.080938
512;1;4;0.051097
512;2;4;0.052166
512;4;4;0.051479
512;8;4;0.050288
512;1;8;0.038764
512;2;8;0.036637
512;4;8;0.042639
512;8;8;0.036715
512;1;16;0.038694
512;2;16;0.041134
512;4;16;0.041546
512;8;16;0.040880
1024;1;1;1.403438
1024;2;1;1.322645
1024;4;1;1.389823
1024;8;1;1.348561
1024;1;2;0.796407
1024;2;2;1.037674
1024;4;2;0.815698
1024;8;2;0.830010
1024;1;4;0.717258
1024;2;4;0.517012
1024;4;4;0.574235
1024;8;4;0.704163
1024;1;8;0.552695
1024;2;8;0.635158
1024;4;8;0.497983
1024;8;8;0.543957
1024;1;16;0.505421
1024;2;16;0.588738
1024;4;16;0.668914
1024;8;16;0.518309
